Dataset	ParentIonIndex	MZ	SurveyScanNumber	FragScanNumber	OptimalPeakApexScanNumber	PeakApexOverrideParentIonIndex	CustomSICPeak	PeakScanStart	PeakScanEnd	PeakScanMaxIntensity	PeakMaxIntensity	PeakSignalToNoiseRatio	FWHMInScans	PeakArea	ParentIonIntensity	PeakBaselineNoiseLevel	PeakBaselineNoiseStDev	PeakBaselinePointsUsed	StatMomentsArea	CenterOfMassScan	PeakStDev	PeakSkew	PeakKSStat	StatMomentsDataCountUsed
485810	28497	637.56	33121	33129	33225	-1	0	32939	33448	33225	2.0541E+07	226.4	167	3.3084E+09	1.3635E+07	90725	619034	4147	3.2744E+09	33203	55.8	-0.0754	0.2162	21
485810	28498	918.51	33121	33130	33134	-1	0	33043	33238	33134	9.8779E+06	8.064	71	6.5707E+08	8.698E+06	1.225E+06	5.86E+06	4162	4.9666E+08	33138	26.4	-0.03385	0.2923	11
485810	28499	659.38	33121	33131	31507	27013	0	32830	33355	33043	4.4536E+06	2.767	117	6.6476E+08	1.2826E+06	1.6095E+06	6.08E+06	4145	2.5149E+08	33053	34.5	0.1348	0.29	13
485810	28500	1099.21	33121	33132	33095	-1	0	33017	33186	33095	3.3075E+06	403.3	77	2.3513E+08	1.7309E+06	8200.8	105380	2080	2.413E+08	33096	26.5	0.0232	0.2867	11
485810	28501	800.94	33121	33133	32589	27982	0	32978	33368	33069	2.3932E+06	16.74	175	2.284E+08	481774	142924	652218	2077	1.7698E+08	33078	38	0.1771	0.2421	15
485810	28502	535.54	33134	33135	33134	-1	0	33134	33134	33134	6.5514E+06	2.765	0	6.8789E+06	6.5514E+06	2.369E+06	2.05E+07	2062	1.0155E+08	33134	7.99	-0.1881	0.433	3
485810	28503	645.21	33134	33136	33108	-1	0	32978	33409	33108	2.4627E+06	132	229	3.2592E+08	2.6E+06	18661	105649	2071	3.1516E+08	33111	60	0.4498	0.3973	24
485810	28504	596.38	33134	33137	33147	-1	0	32965	33238	33147	2.7747E+07	32.25	58	2.1051E+09	6.3481E+07	860364	4.18E+06	4150	1.9664E+09	33145	26.8	0.002085	0.2985	11
485810	28505	561.35	33134	33138	33186	-1	0	33056	33409	33186	1.0291E+08	65.21	74	8.6779E+09	3.0745E+07	1.5782E+06	6.26E+06	4150	8.2078E+09	33194	32.7	0.09463	0.2575	13
485810	28506	631.33	33134	33139	33134	-1	0	33017	33238	33134	1.0423E+07	20.94	20	5.3408E+08	8.3847E+06	497793	1.66E+06	4156	4.4922E+08	33130	29.3	-0.0427	0.281	12
485810	28507	487.65	33134	33140	33264	-1	0	32936	33503	33264	2.6054E+07	21.31	203	5.6241E+09	8.7996E+06	1.2225E+06	6.96E+06	4156	5.0111E+09	33265	71.4	-0.1842	0.1871	28
485810	28508	939.03	33134	33141	33134	-1	0	33030	33225	33134	7.9361E+06	111.1	49	4.6352E+08	6.2642E+06	71462	606319	4166	4.5849E+08	33130	29.5	0.005572	0.2665	12
485810	28509	483.07	33134	33142	33160	-1	0	33082	33251	33160	3.4678E+06	14.46	101	2.6702E+08	2.7365E+06	239808	1.07E+06	4132	2.2992E+08	33162	26.2	0.04483	0.2764	11
485810	28510	453.03	33134	33143	33134	-1	0	33056	33212	33134	3.5974E+06	11.14	13	5.2391E+07	1.3836E+06	323026	1.72E+06	4147	2.8671E+07	33136	16.7	-0.04495	0.3581	7
485810	28511	655.85	33134	33144	33709	28974	0	32965	33503	33160	8.5955E+07	103.3	83	8.7261E+09	8.2557E+07	831959	3.07E+06	2071	8.0529E+09	33167	35	0.03033	0.2494	14
485810	28512	474.55	33134	33145	33173	-1	0	33069	33264	33173	2.0399E+07	137.9	70	1.4114E+09	1.0075E+07	147952	803648	4151	1.3907E+09	33169	29.6	-0.03029	0.2665	12
485810	28513	876.79	33134	33146	33147	-1	0	33043	33251	33147	1.5252E+07	268.5	79	1.176E+09	1.4902E+07	56814	418983	4158	1.1639E+09	33149	32.5	0.007691	0.2575	13
485810	28514	735.01	33147	33148	33147	-1	0	33043	33290	33147	7.5884E+06	106.4	96	6.6498E+08	7.1025E+06	71296	776667	4160	6.5411E+08	33144	32	0.111	0.2575	13
485810	28515	839.15	33147	33149	33108	-1	0	33017	33290	33108	1.1266E+07	114.8	62	7.2313E+08	2.8401E+06	98104	649738	2470	7.0547E+08	33111	30.5	0.1272	0.2665	12
485810	28516	583.04	33147	33150	33173	-1	0	32978	33409	33173	2.8275E+08	898.3	68	2.1267E+10	1.5867E+08	314752	2.01E+06	2081	2.0901E+10	33179	33.5	0.0386	0.2494	14
485810	28517	524.33	33147	33151	33160	-1	0	33043	33355	33160	3.7943E+07	38.7	82	3.5501E+09	3.9834E+07	980400	3.44E+06	4142	3.2717E+09	33168	32.6	0.1154	0.2575	13
